Milliseconds,X,Y,Z,ground truth
8560,0.86576015,0.45937148,-2.145216,no
8580,-0.79046553,0.8166826,-2.8051267,no
8601,0.085668206,0.84898573,-1.6155995,no
8620,0.057057142,1.1524143,-0.97659856,no
8640,-0.37896937,0.7219963,0.92332405,no
8660,-0.6804048,0.4066961,-1.1796954,no
8680,-0.70229346,0.68634635,-1.6851783,no
8700,-0.17104252,0.58353317,0.2436442,no
8720,0.4927288,0.4056273,-0.5478665,no
8741,0.16137464,0.7931348,-1.0977249,no
8760,-0.0826625,1.3508818,-1.3733481,no
8780,0.08837015,1.3042732,-1.1593273,no
8800,0.8346022,1.5713933,-0.40553448,no
8820,0.5882927,1.3918161,-0.34038508,no
8841,-0.40220407,1.3074678,-1.5012708,no
8860,-2.6524405,1.5584494,-1.9095676,no
8880,-1.4483826,-0.5820286,-2.615549,no
8900,-2.03234,-0.52028406,-1.5122163,no
8921,-0.7137416,-1.8146219,1.52781,no
8940,-1.4133093,-1.2556018,2.121786,no
8960,0.18744893,-2.0183024,-1.3108323,no
8980,0.22891185,-1.5963831,-1.880762,no
9000,-0.33938298,-1.4565603,-3.2804146,no
9021,0.07428622,-2.127329,-4.3638353,no
9040,1.1506985,-1.9583669,0.83272314,no
9060,-0.7393347,1.4850796,6.333448,no
9081,0.8171869,1.0615712,2.6319013,no
9100,-0.7864254,2.4414794,-0.7288659,no
9120,0.079557575,1.9589522,-2.3095117,no
9140,-3.0581343,2.186561,-0.2790704,no
9161,-1.2477523,1.3197687,1.0405862,no
9180,0.1722606,1.4277948,3.485795,no
9200,0.27405545,0.6587093,1.932919,no
9221,0.6922293,0.68199056,2.7461593,no
9240,0.08054848,0.853516,3.1679974,no
9261,-0.5522957,-0.40439498,-0.67777914,no
9280,-0.2564053,-1.0736735,-3.625134,no
9300,0.2949187,-1.8258319,-4.6912622,no
9321,-0.36178747,-0.94882643,-1.1320937,no
9340,0.48613143,-1.2027372,1.6462436,no
9360,1.863903,-0.5734096,3.0395515,no
9381,-0.7474628,0.44857457,-0.83880323,no
9400,-0.4862426,-1.6090544,-4.6031656,no
9420,-0.13187787,-2.2501478,-5.2022395,no
9441,0.74411714,-0.31995204,-0.13354187,no
9460,-0.22733316,0.24604104,0.6983954,no
9480,1.336841,-0.41944063,0.085167356,no
9501,1.6496989,-0.14519422,0.58720076,no
9520,0.02660318,-0.14174666,-0.61379576,no
9541,0.648121,-0.6054603,-1.3656404,no
9560,-0.7557955,-0.22178157,-0.35967857,no
9580,-0.6480522,0.48597842,1.4875857,no
9601,0.105871186,1.2858961,1.4377657,no
9620,0.567934,0.35975364,0.25386226,no
9641,0.17044385,0.49844003,0.2714459,no
9660,-0.62777466,0.28088757,1.0227013,no
9681,-0.9140629,0.011032525,1.2094682,no
9701,0.123922706,-0.015568115,1.479075,no
9720,0.004422934,-0.5939881,0.08771044,no
9741,-0.40271646,-0.7202688,-2.0938437,no
9760,-0.52567667,-1.3304693,-2.2174928,no
9780,0.23532197,-0.8713362,-0.9819304,no
9801,0.6460848,-0.15785722,0.246272,no
9820,0.64283514,-0.27624488,-0.6153636,no
9840,-0.49697542,0.07537374,0.30006015,no
9861,0.6517461,-0.61992997,-0.5837145,no
9880,-0.5107789,1.0607796,-1.615159,no
9900,-0.9810591,0.57203805,0.14742503,no
9921,0.67641807,-0.0964259,-0.2734108,no
9941,0.38823983,0.0924502,-0.5141974,no
9960,0.18251975,0.015996436,0.047344364,no
9980,0.002074775,-0.4775792,-1.1916128,no
10001,-1.3684436,0.8747197,0.009456041,no
10020,-0.49446025,-0.1999415,0.5953718,no
10040,-0.3444225,-0.6321365,0.39798862,no
10061,0.2918318,-0.26632014,0.9021812,no
10080,0.077652775,-1.5759248,-1.7424244,no
10101,-0.28582844,-1.7230084,0.093084864,no
10121,0.3622178,-1.4198182,1.4664769,no
